PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANO;MES;DIA;H01;V01;H02;V02;H03;V03;H04;V04;H05;V05;H06;V06;H07;V07;H08;V08;H09;V09;H10;V10;H11;V11;H12;V12;H13;V13;H14;V14;H15;V15;H16;V16;H17;V17;H18;V18;H19;V19;H20;V20;H21;V21;H22;V22;H23;V23;H24;V24
28;79;38;10;28079038_10_47;2019;10;1;16;V;19;V;19;V;16;V;18;V;18;V;16;V;16;V;17;V;17;V;17;V;16;V;16;V;12;V;12;V;10;V;7;V;7;V;7;V;12;V;12;V;15;V;9;V;8;V
28;79;38;12;28079038_12_8;2019;10;1;49;V;22;V;16;V;14;V;13;V;14;V;20;V;24;V;38;V;42;V;49;V;56;V;48;V;41;V;33;V;17;V;21;V;38;V;71;V;60;V;130;V;111;V;61;V;43;V
28;79;38;20;28079038_20_59;2019;10;1;002.7;V;001.4;V;000.7;V;000.5;V;000.7;V;000.6;V;000.5;V;000.5;V;000.6;V;000.7;V;001.0;V;001.1;V;000.9;V;000.8;V;000.7;V;000.6;V;000.8;V;000.6;V;000.9;V;000.9;V;001.1;V;002.5;V;002.5;V;001.9;V
28;79;38;30;28079038_30_59;2019;10;1;000.4;V;000.2;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.1;V;000.1;V;000.1;V;000.2;V;000.2;V;000.3;V;000.4;V;000.5;V;000.4;V
28;79;38;35;28079038_35_59;2019;10;1;000.7;V;000.4;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.3;V;000.4;V;000.4;V;000.6;V;000.6;V;000.5;V
28;79;39;6;28079039_6_48;2019;10;1;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.2;V;000.3;V;000.3;V;000.3;V;000.3;V
28;79;39;7;28079039_7_8;2019;10;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;7;V;1;V;1;V;2;V;1;N;1;N;1;N;1;N;1;N;1;N;1;N;1;N;1;N;1;N;1;N;1;N;1;N
28;79;39;8;28079039_8_8;2019;10;1;23;V;11;V;9;V;8;V;7;V;7;V;9;V;24;V;18;V;18;V;18;V;1;N;1;N;1;N;1;N;1;N;1;N;1;N;1;N;1;N;1;N;1;N;1;N;1;N
28;79;39;12;28079039_12_8;2019;10;1;24;V;13;V;11;V;10;V;9;V;8;V;11;V;35;V;19;V;20;V;20;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
28;79;39;14;28079039_14_6;2019;10;1;56.78;V;59.74;V;61.24;V;59.80;V;58.12;V;58.10;V;55.07;V;42.18;V;42.22;V;42.40;V;47.12;N;52.45;V;58.83;V;66.29;V;67.30;V;74.11;V;75.63;V;67.90;V;49.61;V;42.33;V;29.63;V;23.49;V;14.36;V;28.03;V
28;79;40;1;28079040_1_38;2019;10;1;10;V;10;V;10;V;10;V;10;V;10;V;10;V;10;V;10;V;10;V;11;V;10;V;10;V;10;V;10;V;10;V;9;V;9;V;9;V;9;V;10;V;10;V;9;V;9;V
28;79;40;7;28079040_7_8;2019;10;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;2;V;4;V;6;V;4;V;3;V;3;V;2;V;1;V;1;V;2;V;3;V;3;V;2;V;2;V;2;V
